id;question;answer;source_doc;source_loc;tags;difficulty
1;Akademik teþvik baþvurusu yapacak öðretim elemanlarýnýn sisteme giriþ sürecindeki temel yükümlülükleri nelerdir?;"Öðretim elemanlarýnýn öncelikle akademik faaliyet verilerini YÖKSÝS sistemine girmeleri zorunludur; ardýndan bu sistemden alýnan çýktý ile birlikte FUATS (https://akademiktesvik.firat.edu.tr) üzerinden baþvurularýný tamamlamalýdýrlar; baþvuru sahipleri YÖKSÝS ve FUATS sistem çýktýlarýnýn her sayfasýný imzalý olarak sunmakla yükümlüdürler; faaliyetlere ait tüm kanýtlayýcý belgelerin elektronik ortamda FUATS sistemine yüklenmesi þarttýr; imzalý çýktýlar ise kadrolarýnýn bulunduðu birimlerin ilgili komisyonuna teslim edilmelidir; süreci zamanýnda ve usulüne uygun tamamlamayan araþtýrmacýlarýn baþvurularý deðerlendirmeye alýnmaz.";Baþvuru Rehberi;Teþvik ödeneði baþvurusu > Sayfa 3;baþvuru|sistem|yöksis|imza;easy
2;Birim akademik teþvik baþvuru ve inceleme komisyonu baþvurularý deðerlendirirken hangi takvime uymalýdýr?;"Birim komisyonu öðretim elemanlarýnca yapýlan baþvurularý 12-15 Ocak 2026 tarihleri arasýnda FUATS sistemi üzerinden incelemek zorundadýr; inceleme süreci tamamlandýktan sonra 15 Ocak 2026 tarihinde teþvik almaya hak kazananlar sisteme girilmelidir; ayný gün YÖKSÝS ve FUATS sistem çýktýlarý Dekanlýk veya Müdürlüklere iletilmelidir; birimler tarafýndan onaylanan evraklarýn 16 Ocak 2026 tarihine kadar üst komisyona gönderilmesi esastýr; deðerlendirme sýrasýnda reddedilen veya puaný deðiþtirilen faaliyetler için mutlaka gerekçeli açýklama yapýlmalýdýr; komisyonlar tüm iþlemlerini ilan edilen bu takvim planýna uygun þekilde yürütmekle mükelleftir.";Takvim;12-15 Ocak 2026;komisyon|inceleme|takvim|süreç;med
3;Üst komisyonun deðerlendirme sonuçlarýna karþý itiraz süreci ve yöntemi nasýl gerçekleþtirilmelidir?;"Akademik Teþvik Düzenleme, Denetleme ve Ýtiraz Komisyonu nihai kararlarýný 25 Ocak 2026 tarihinde FUATS üzerinden ilan eder; ilan edilen sonuçlara karþý itirazlar 26-30 Ocak 2026 tarihleri arasýnda yazýlý olarak yapýlmalýdýr; itiraz dilekçeleri doðrudan Rektör Yardýmcýlýðý Makamýna elden teslim edilmek zorundadýr; komisyon itirazlarý beþ iþ günü içerisinde deðerlendirerek nihai karara baðlar; komisyon tarafýndan verilen kararlar kesin nitelik taþýr ve daha sonra itiraz kabul edilmez; itiraz sürecinin sonunda kesin listeler oluþturularak ödeme birimlerine bildirilir.";Yönetmelik / Takvim;Madde 6(6) / 26-30 Ocak 2026;itiraz|dilekçe|ilan|nihai karar;med
4;Devlet yükseköðretim kurumlarý dýþýnda görev yapan öðretim elemanlarýnýn teþvik hakký nasýl düzenlenmiþtir?;"Vakýf üniversitelerine görevlendirilen devlet üniversitesi öðretim elemanlarý görevlendirme süreleri boyunca gerçekleþtirdikleri faaliyetlerden teþvik alamazlar; vakýf üniversitelerinden veya diðer kurumlardan devlet üniversitelerine geçenler ise sadece devlet üniversitesindeki görev sürelerinde yaptýklarý faaliyetler için baþvurabilirler; teþvik puaný hesaplanýrken sadece devlet yükseköðretim kurumlarýnda üretilen yayýnlara yapýlan atýflar geçerli kabul edilir; yabancý uyruklu öðretim elemanlarý bu ödenekten hiçbir þekilde yararlanamazlar; kurum dýþýndaki faaliyetlerin deðerlendirilebilmesi için ilgili faaliyetlerin devlet kurumlarý bünyesinde gerçekleþtirilmiþ olmasý esastýr; araþtýrmacýnýn faaliyetleri kadrosunun bulunduðu güncel devlet kurumunda deðerlendirilir.";Yönetmelik;Madde 6(7) ve Madde 6(9);vakýf üniversitesi|devlet kurumu|yabancý uyruklu|uygunluk;hard
5;Araþtýrma faaliyetinin teþvik kapsamýnda deðerlendirilebilmesi için gereken asgari süre ve görevlendirme þartý nedir?;"Araþtýrma faaliyetinin puanlanabilmesi için kurum dýþýnda görevlendirme ile yurt içinde veya yurt dýþýnda en az dört ay süreyle yürütülmüþ olmasý zorunludur; dört aydan kýsa süren sistematik çalýþmalar deðerlendirme kapsamý dýþýnda tutulur; araþtýrmanýn bilim, teknoloji ve sanata katký saðlayýcý nitelikte yeni bilgiler üretmesi veya teknolojik çözümler sunmasý beklenir; araþtýrma için mutlaka üniversite yönetim kurulu tarafýndan yapýlmýþ resmi bir görevlendirme bulunmalýdýr; görevlendirme belgeleri ve sonuç raporu FUATS sistemine kanýt olarak yüklenmelidir; araþtýrmacýlarýn kendi kurumu dýþýndaki bir üniversite veya araþtýrma kurumunda tam zamanlý çalýþmýþ olmalarý þarttýr.";Yönetmelik / Rehber;Madde 3(þ) / Araþtýrma Koþullarý;araþtýrma|süre|görevlendirme|yönetim kurulu;med
6;Hangi tür projeler akademik teþvik ödeneði kapsamýnda deðerlendirme dýþý (kapsam dýþý) býrakýlmýþtýr?;"Yükseköðretim kurumlarý tarafýndan desteklenen bilimsel araþtýrma projeleri (BAP) teþvik kapsamý dýþýndadýr; TÜBÝTAK-1002 hýzlý destek projeleri ile sanayi, kamu ve giriþimcilik odaklý projeler deðerlendirmeye alýnmaz; süresi dokuz aydan az olan veya Ar-Ge niteliði taþýmayan döner sermaye projeleri kapsam dýþýdýr; yerel kalkýnma, topluma hizmet veya sosyal sorumluluk amaçlý fonlanan projeler puanlamaya dahil edilmez; Avrupa Birliði Katýlým Öncesi Mali Yardým (IPA) projeleri ve döner sermaye üzerinden yapýlan bilirkiþilikler de kabul edilmez; ayný projenin uzantýsý olan mükerrer çalýþmalar için ikinci kez puanlama yapýlamaz.";Yönetmelik;Madde 7(2);proje|kapsam dýþý|BAP|Ar-Ge;hard
7;Kitap yazarlýðý ve kitap bölümü çalýþmalarýnda yayýnevlerinin saðlamasý gereken kriterler nelerdir?;"Uluslararasý yayýnevlerinin en az beþ yýl uluslararasý düzeyde faaliyet yürütmesi ve Türkçe dýþýndaki dillerde ayný alanda en az yirmi kitap yayýmlamýþ olmasý þarttýr; ulusal yayýnevleri için de en az beþ yýl faaliyet ve ayný alanda farklý yazarlara ait en az yirmi kitap yayýmlama kriteri aranýr; kitaplarýn mutlaka ISBN numarasýna sahip olmasý gerekmektedir; kongre veya sempozyum bildirilerinden oluþan kitaplar ile buralarda yayýmlanan bildiriler yayýn kategorisinde deðerlendirilmez; sýnavlar için hazýrlanan soru kitaplarý ve küratörlük kitaplarý kapsam dýþý tutulmuþtur; yazarlýk faaliyetleri yayýneviyle yapýlan sözleþme veya editörden gelen davet mektubu ile belgelendirilmelidir.";Yönetmelik / Rehber;Madde 3(l) / Yayýn Koþullarý;kitap|yayýnevi|ISBN|uluslararasý;hard
8;Dergilerde gerçekleþtirilen editörlük faaliyetlerinin puanlanmasýnda uygulanan kýsýtlamalar nelerdir?;"Dergilerde editörlük ve editör kurulu üyelikleri deðerlendirilirken yýllýk yayýnlanan sayýya bakýlmaksýzýn sadece bir editörlük dikkate alýnýr; farklý dergilerde birden fazla editörlük görevi bulunsa dahi yalnýzca bir tanesi puanlamaya dahil edilebilir; çok editörlü dergilerde sadece baþ editör olan öðretim elemaný teþvik kapsamýnda deðerlendirilir; editör kurulu üyelikleri mevcut yönetmelik ve rehber hükümleri uyarýnca teþvik kapsamýndan tamamen çýkartýlmýþtýr; puanlama için derginin indeksi ve adayýn editör olduðunu gösteren web sitesi ekran görüntüsü kanýt olarak sunulmalýdýr; derginin ISSN numarasýna sahip olmasý ve düzenli yayým yapmasý temel þarttýr.";Yönetmelik / Rehber;Madde 7(4) / Yayýn Belgeleri;editör|dergi|baþ editör|kýsýtlama;med
9;Akademik teþvik puaný hesaplanýrken kullanýlan (k) katsayýsý kiþi sayýsýna göre nasýl deðiþmektedir?;"Tek yazarlý veya tek katýlýmcýlý faaliyetlerde (k) katsayýsý tam deðer olan 1 olarak uygulanýr; iki isimli çalýþmalarda her bir araþtýrmacý için katsayý 0,8 olarak hesaplanýr; üç kiþilik faaliyetlerde bu deðer 0,6 iken dört kiþilik faaliyetlerde 0,45 olarak dikkate alýnýr; beþ kiþilik çalýþmalarda katsayý 1/5, altý kiþilik çalýþmalarda ise 1/6 oranýnda uygulanýr; yedi ve daha fazla katýlýmcý bulunmasý durumunda katsayý 1 bölü toplam kiþi sayýsý þeklinde belirlenir; ancak karma sergi etkinlikleri ve uluslararasý karma ses/görüntü kayýtlarýnda kiþi sayýsýna bakýlmaksýzýn katsayý uygulanmaz ve tam puan verilir; bu katsayýlar çok isimli yayýn, teblið ve patentler için temel hesaplama aracýdýr.";Yönetmelik;Madde 8(4) / Tablo 1;katsayý|kiþi sayýsý|puanlama|hesaplama;easy
10;SCI, SCI-Expanded, SSCI ve AHCI kapsamýndaki makalelerin puanlanmasýnda (p) katsayýsý nasýl belirlenir?;"Makalenin yayýmlandýðý yýl için derginin ISI Web of Science tarafýndan belirlenen Çeyreklik (Quartile) sýnýflandýrmasý esas alýnýr; Q1 sýnýfýndaki dergiler için (p) katsayýsý tam deðer olan 1 olarak uygulanýr; Q2 sýnýfýndaki dergiler için katsayý 0,8 iken Q3 sýnýfý için 0,5 olarak belirlenmiþtir; Q4 sýnýfýndaki dergilerde yayýmlanan makaleler için en düþük oran olan 0,25 katsayýsý kullanýlýr; AHCI kapsamýndaki dergilerde yayýmlanan makaleler için katsayý deðeri sabit olarak 0,5 þeklinde uygulanýr; eðer bir derginin Q deðeri henüz belirlenmemiþse en alt katsayý olan 0,25 deðeri üzerinden iþlem yapýlýr; bu katsayýlar araþtýrma ve derleme makalelerin nihai puanýný doðrudan etkiler.";Yönetmelik;Madde 8(6) / Tablo 3;quartile|Q deðeri|katsayý|indeks;med
